name,image,class,subclass,description,ingredients,hp,effect
Tough Elixir,40px-BotW_Tough_Elixir_Icon.png?version=53aabd7829fcba3fc04ea19cd05e31ff (https://v5.airtableusercontent.com/v3/u/41/41/1749067200000/fCI0z2NwnbFxXPY9FQkqkw/mda26q4S6p9hHqAquYkBT3_HNfTzWjRXhS4cudm4Zj2EVzoXsYqgfv0muiU4v1hEKlZ0kesLhZDSQOFc9QKM5Epqt6gichcyG-x9aj45m7SmDrkr-8lqnqdhi5994zBJMkKPFTJb7Mjg59XBvcNbktIGjx6KYUAFXXVKtfFewqruyJo4rVj_FnFp-S16aX14/3P39JZIxHRcbI1HUBWDGp0u8K0425bZmRadQUzfSBzw),Food,Elixir,"Grants a X-level toughness effect, which fortifies your bones to strengthen your defense. Best to use before facing off against hard-hitting enemies.",Rugged Rhino Beetle,,Tough
Spicy Elixir,40px-BotW_Spicy_Elixir_Icon.png?version=af15fddec6e5b16a26f93cc47218ca2c (https://v5.airtableusercontent.com/v3/u/41/41/1749067200000/cXlKzhA-ksretJmXHdwE-w/cHGvtKIc0-W9XPOUEUVxOzsWHs3Ox67orcgBt1229qNA5KIRA3i5zrHfSOWH0SjWVQUjjFign_eHnt3W6VeEMNlUZH96_kpWM-saBHe_nCLKpBbGRtNVpOTMIgtNdmiMd3mRIEGh9ogimAJQlx3c5XHItJN1zwe89Q9uDYCK5GYLijZ_ZDWFVVVz1mXz5XXF/UpcXsbXBtaw33fb2jY7yNLXo3O5ZBpVZEJvAAU7AUEk),Food,Elixir,"Warms your body from its core, increasing your resistance to cold environments. Very useful in the snow-covered mountains.","Summerwing Butterfly,Warm Darner",,Spicy
Sneaky Elixir,40px-BotW_Sneaky_Elixir_Icon.png?version=225e9622dc6c0294d4dc5d526a9d2ce2 (https://v5.airtableusercontent.com/v3/u/41/41/1749067200000/qOCpcKAd7IJoFMQ8ZBHJyA/PQJ2EMICN4hHlsiGr9hRQJJfstE9ScvEZrBs49_40OyM6LbZmbkT3dp8tqe8QGHupW0h2AqBTgUsQw7yW7TbKbQWBxgg19NJjDmJTuoVr9XlbSBzHJKz_2js4r7Q-kwHj5k1XB0j4aK3Avd5-XjUjFC2daavLM9mcGBqlU-fjD4dJ-x7ReJ9-ZGe839paSD0/uhe5a6yn3zf8R0pLSGcXeKCcFHpz_86hPhEpJDWsMU0),Food,Elixir,"Grants a X-level stealth effect, which calms the nerves and silences footfalls. Allows you to move about undetected by monsters and animals.",Sunset Firefly,,Sneaky
Hearty Elixir,40px-BotW_Hearty_Elixir_Icon.png?version=224ae6bed4bccab569618664b1de6683 (https://v5.airtableusercontent.com/v3/u/41/41/1749067200000/cIiWNOkG2RQCdQ02X6fY-Q/Hj_UKgdKG-0d-VJLLzKHMNIzTVdy3rv1O6Ys463YqWuqtJMCyA7TUmK86JdaO9W2bKS7GXzBOZzt3YYYvCdTLSRAdfqYCQM50RinlVToU0saCd4xtP3PHis5K_juxFADJYpcUQgcwFM9mOPb8JY_f3SXfF0b6xGf5K2tQnKpSBkJjdQeJsu9U3NyOT10w6tr/hkk4itWOG4-tHtSG7TBmFTZ3P7qkVGjE2-tbI-kX_0o),Food,Elixir,Restores you to full health and increases your maximum hearts. The additional hearts are lost as you take damage.,Hearty Lizard,,Hearty
Hasty Elixir,40px-BotW_Hasty_Elixir_Icon.png?version=e81ce2f51e300cb8a475c57418c8d405 (https://v5.airtableusercontent.com/v3/u/41/41/1749067200000/4oYoDjYkPJIqPtLN8kUt_Q/OwrmTtEwbjaTmlU5D3P78_wSdbpM4vpr23bwmJu_AP6kl0GFXjDU1L4YOkDkDITkhdL-2GD5ES60f9hC0KTFH_fRKD85UHqKS7vFN3K_BuIQ8Nd4J54Z7kLGWnmw6Cp8F9awTccgp4mmKvX14ZduhoKLktlxNDQhbC2t_p2swyuLjLfS4LV7y3BRHIvlsDXb/tDQkjHsIoMEOhaTA-1GU5QZUXR2Gu9WBzapk7V0qA2c),Food,Elixir,"Grants a X-level haste effect, which boosts your movement speed while running, swimming, or climbing.","Hightail Lizard,Hot-Footed Frog",,Hasty
Fireproof Elixir,40px-BotW_Fireproof_Elixir.png?version=58d12074b3727cc410521baed978aabf (https://v5.airtableusercontent.com/v3/u/41/41/1749067200000/MgHVP819-QOzaomHV0RRuw/SpMAwTdAVLYcQDHOW6rZDqlu9JQ_uaMWhkWi9V_f2-jcLG5Dr3ou0EZsywLkKuDxniC80pGVHLxnDZ3SFd-QZjCzRmdBNZ9Lm7RUHrgOnNah3YqOm0gWC59BhHSn2SRbU-99XORDat9vFOa0hR9y6v5pIRcGSl-mbPmp-iFbt337RF8WzIHsJ8TB6zJerTRh/9a9YcdlPLhrszGJGkusLmgFngQHfM1nAtr-hf-3zQ60),Food,Elixir,"Grants a fireproof effect, which prevents your body from catching fire. Be sure to pack this when venturing out to explore Death Mountain.","Fireproof Lizard,Smotherwing Butterfly",,Fireproof
Energizing Elixir,40px-BotW_Energizing_Elixir_Icon.png?version=6497b3216cb9c19ec75d24473e5e8fac (https://v5.airtableusercontent.com/v3/u/41/41/1749067200000/XNRERbcq4qhHO2UEW90bjg/Ddfn2IaAmJjqjib7tCib_GARRvMgBrG0mCXMBoUvh94nLGh-HvScjmP3v3Ppk9oGeIi1myWYqcwNzypXL8xu2muVIlTjM3rx_SvEJRSrto8lraP8-3l-SjpH-6QxvhlWI3tQZAzvIOKvBosXlsARkqkMuVPqLJm1Qn6MguP6hyZjkkZfmbh6rJKxRZ_kXWX4/td3XuRy9RAlYCcAJOBmj06IpW0nZtxKLwd23UfPhIbk),Food,Elixir,"Restores your Stamina, which is used when performing physical actions such as climbing walls and swimming.","Restless Cricket,Energetic Rhino Beetle",,Energizing
Enduring Elixir,40px-BotW_Enduring_Elixir_Icon.png?version=a9dd97ad7e3a3e2221f701567c87e9da (https://v5.airtableusercontent.com/v3/u/41/41/1749067200000/2eaN9U569Stg6aBTFh3Aag/mITPbF0V4yzUmW62vX-wqrh2dEEl34VejeClTTOU9iSXs-1HUh13DfoJbBYBaaWd8o4htLIUgA7TqH8qreuGVbx1TxjnNUZ2S6GJ9zxVmsKHhw8XQPTvw8bW14ZooVA6clb0DyOk0ERnnRJHBufsZ54YkJTY7oHRsMWaX-DyUVKR7rlE2STND7njduvOQnDC/lkmZXlV3xw7w5KzkjtaHXD_bakg-p1JLPgZrcb7_e-I),Food,Elixir,Restores stamina and temporarily extends your Stamina Wheel. The additional stamina will disappear as it's used.,Tireless Frog,,Enduring
Electro Elixir,40px-BotW_Electro_Elixir_Icon.png?version=99d806fd2f40fd44d14f23ec40255230 (https://v5.airtableusercontent.com/v3/u/41/41/1749067200000/dihiKiM_ksPLaGAcIdUCfQ/1fsAjlRm4XJr1FCMRSsS-ko_pYPsVDdUY5ER2_0CjJaGrxo2qL6KBGK9ExrEajbBIP6yJXoGTu5iMKE0YoueYvz1WiOnijnBYiXMgvFhc3UAmnPdNDud4AODnt2650yylFWekYIvOqGZBS2Y6L-KuaCkgmTKolQLTatkytBqtSP9cEOsX8Jy-JH20z4JdMJC/5wPhKfuIj1L9O6OYn7SbqGBIaA3Un364j9s7zmXrPBw),Food,Elixir,Grants a X-level resistance to electricity. Useful against enemies with electrical attacks.,"Thunderwing Butterfly,Electric Darner",,Electro
Frozen Bass,40px-BotW_Frozen_Bass_Icon.png?version=158d46f0f9f41402871e35c470b40454 (https://v5.airtableusercontent.com/v3/u/41/41/1749067200000/ZDmzC2xnj9iPEZP3X78S5w/i1AuQSqtqnqDbEupblioVVJ5_zSzhy3aM_NsmXZ_6PAqz_Bgodi3WKxScsaHuyj1MS9Bverw2sX91EU67VESaJzZ7ta_cOtfgk2ev_0hYFhEUK6PAF49JGh5wi_Z5BCFelTcSkg_dfd70uqtB1v5oh4msTnGFBY9ABSrPxEdWN5toaNaE9JifnOxkUeuh3NK/LWbFu52HOmAh5d3sj5HbE5LMp8TAoBXdFNfrKc3vPew),Food,Frozen,"That's one cold fish. Eating it won't restore many hearts, but it will lower your body temperature a bit.","Hyrule Bass,Staminoka Bass",2.0,Chilly
