name,image,class,subclass,tags,durability,strength,range,arrows,defense,defense_upgrade_lvl1,defense_upgrade_lvl2,defense_upgrade_lvl3,defense_upgrade_lvl4,bonus,description,selling_price,bonus_set,upgrade_1,upgrade_2,upgrade_3,upgrade_4,armor_upgrade,where_to_find,notes
Ancient Short Sword,BotW_Ancient_Short_Sword_Icon.png?version=486c93e286f8dc379cec15fcc5cb2610 (https://v5.airtableusercontent.com/v3/u/41/41/1749067200000/9gRvDK5rv8Y_URraZ0KmQw/9KROIKrfNXoX5ypxvHLwlPilfJgZC4Np1T-NTNgZnBGJPIEsZj-2NfFSsRnYmzht3poj09X7SmjkR-anW7CMAzPs08NMizUNlkUZIgrBUJy-Gk6mdVgOwGE61soTUeQLupvs72jd20Q04zftzhcaOpOkwHTiAiXKfrUwehKGx1ODt77ugvEqiAKGRohzRaCf/z4cLw_cBQK6sUqCMOSIMcPo7CCkKgwFxMQTF2FNwOdk),Weapon,Light,,54.0,40.0,,,,,,,,,"The blade of this sword was made using an ancient power lost to this modern age. Its blade appears only when drawn, and its cutting power surpasses metal swords.",,,,,,,,,
Blizzard Rod,BotW_Blizzard_Rod_Icon.png?version=f9bd2bfd01056fb6390ae4e60d28e7a5 (https://v5.airtableusercontent.com/v3/u/41/41/1749067200000/JtcJdmqFaBeiIKbDfJ8S6Q/tNHPtnR1BoXlEgh3pajQ1saRLzxhYwHYtOfm26AIqq6Lx5VbyHTKcAQklInmrxJr2j9tRPpc4KJkb0n3Uwnzkfy4eXVbrvI6EXA23HpjkSHt8bNM7IOcAe6YT1Q_NDLB8yGmRaOBg3BpTEj4hXnLz_-79zWAIN_RZN3i1zwfKtk/316x3HqhiWeIo6Vf0boyogUOomHOdMsvHITZ7FZD4Z0),Weapon,Light,,32.0,10.0,,,,,,,,,A magical rod that can cast extreme cold in a wide range. These are crafted from refined ice found at the summit of Hebra Peak. It will break when depleted.,,,,,,,,,
Boko Club,BotW_Boko_Club_Icon.png?version=e018fd887fdac13d06b446fb28fac5da (https://v5.airtableusercontent.com/v3/u/41/41/1749067200000/g5fZ9BBXADTevR_R0BLFBA/A5qWh7vnkN5-LSa0vcYqsBX7kmQpOQE2cUUUFXQm2UEBv8LZaLchYRxdPyVpGV6gPxu4yGiIxgB7wqp-uol3oVyRd6V1CMmpCCyzMf8s05oONIemJeIl54J_5s6iN1Z8lfI_NyS7PFuilc6FoOELY8M3GUL0gwYaiXCTRHJk9O0/cWG2hVV-8zngvm4UYCW8TunsN-4GSx5m4l4WoRbV-5w),Weapon,Light,,8.0,4.0,,,,,,,,,"A crude Bokoblin club made to clobber small prey. It's essentially a stick, so its durability is low.",,,,,,,,,
Bokoblin Arm,BotW_Bokoblin_Arm_Icon.png?version=be25984d7c028c958c461bf44673fb07 (https://v5.airtableusercontent.com/v3/u/41/41/1749067200000/oOjqvIBPFRpvwo0KY9pvPQ/pTyZnfuHoIoKs67lGNMbbBcEaR9gyntfuqPQiH4jjLNC2svarhhhm9pFq14eLrhVVjksZ1eaAXvyx-cFav5XPf_WYyGhi0nw70861jWiv3avAHrFi7xe5sNrROxZMAaMlTMoBJNrFA0dbXfi3i3d0-oEe4jWGyrEpFntduQAfmM/725d-GNocr29PhZyYqFD0G2nlan1k_6ly0Me17hKxVQ),Weapon,Light,,5.0,5.0,,,,,,,,,"A skeletal arm that keeps moving even after it's severed from its body. It's kind of gross to strap it to your back, but it'll do in a pinch. It's old and fragile, so it's quick to break.",,,,,,,,,
Boomerang,BotW_Boomerang_Icon.png?version=96318352d5aae4edd4a364e5fad0f1c4 (https://v5.airtableusercontent.com/v3/u/41/41/1749067200000/6y1kkAEhrWO96EOkHvPuDw/OY-1fSdhH9T_2kTws2QLZpZh81yTJI6ixeM4FGKW_grXlHD4U7jqOVcqWrIn7xbtDH1YoODZPrIVQQpqiSfI_esKHHZs6kR069EvBwPizr6-FLJ9OrvR5j-8Ba2aZjJOgxTfDIE3zRLYh1UbM06BWUrrH6WF8sZtp70SeBJLUVE/2C0xVpHPIuUjRlZ7nymFuFYjmSh7J_oxwVSZauN_Lew),Weapon,Light,,18.0,8.0,,,,,,,,,This throwing weapon was originally used by the forest-dwelling Koroks. Its unique shape allows it to return after being thrown.,,,,,,,,,
Demon Carver,BotW_Demon_Carver_Icon.png?version=db18075e98d136f94140977003a9cf88 (https://v5.airtableusercontent.com/v3/u/41/41/1749067200000/ejEsSrvsW8wAimU5uXifqQ/CUmbm8_KOLWrTQJO5DeKMWMrgYnHVmrfajgNkAm0Gf8rdinG2FwvqHinIfGC7_bOaZDZb3-Jx-5UbLu5co2hHl_jN1NZzpYPz3TUzQiaGgG6SRCWvT6bx3Dgit6LJLytcctXpAsnlm8SAA4RIsCRIbe-H2jLx5fYxg8sXW7pz54/YcKUTBD-e8BriyRMmrnD4txumV34B_qqmDJhErgj4lA),Weapon,Light,,25.0,40.0,,,,,,,,,This lethal weapon is forged by the Yiga. Its unique shape facilitates the sound dispatching of any target and strikes fear into the hearts of all who see it.,,,,,,,,,
Dragonbone Boko Club,BotW_Dragonbone_Boko_Club_Icon.png?version=d285ae0ccf505956cb073e30cbb282de (https://v5.airtableusercontent.com/v3/u/41/41/1749067200000/4tLrGVp554cfleqHeTOXNg/lPqIZGKFYqUwf-GRsxJIHt16h3OmoDC2_EGUwW8xizm9JfE5Btgkib0I2qWK8OQiwKrUy0QhiEOIl6gDdBG6vR-oYmvA_FoHcmsS6bwYQfKiuWJoflRgoR09DUhCjXTuT3qwyurEKounxuhikhl1lvZRdw190aDcDfdp68Ic7TI3EcUpXBAJoGVRQ3ycgf1f/DA4nOf3diO7cX7trzxqhhW4JlUmfNLt7iZCEH13iviE),Weapon,Light,,18.0,24.0,,,,,,,,,This Bokoblin club has been reinforced with fossilized bones to maximize clobbering potential. Only the brawniest of Bokoblins can manage its immense weight.,,,,,,,,,
Eightfold Blade,BotW_Eightfold_Blade_Icon.png?version=953b1fac46cd8f46756a527d95fd2bb6 (https://v5.airtableusercontent.com/v3/u/41/41/1749067200000/_xc1pQ8ovK-PncjrtILBkQ/rR4aUHkqW2UZbnKM8bUlIfsXc1aOm2LHmmjWyAYWjnDEfg64driyhyDfOZR9OB7vGeidb1u4kF8xFnP6iLc8xiHgYF38hDuO9_3cK--a34uO7t4AKUlMdZ2CHlEGWbVzrWdZMu2szUrCU_-XyV6bOb2PQbTdD8ueStraNl_Zn8Y/MlieIbJcAHHXb4fZ-KPystwR6jVGIrqooeSuwo0iHIM),Weapon,Light,,26.0,15.0,,,,,,,,,A single-edged sword traditional to the Sheikah tribe. Forged using ancient technology it just may be among the sharpest conventional weapons ever made.,,,,,,,,,
Fire Rod,BotW_Fire_Rod_Icon.png?version=9c9230bc9f584ec7caea7fc9250e3902 (https://v5.airtableusercontent.com/v3/u/41/41/1749067200000/OW-QJU7eBcfmGv39tTYGkg/sOGr4F2GxpwzIiHPHDg2yYziIIyJhMbKfhQDY7JDxhHbvsVsbBSnXBrsu8Cki1VhCiszjjoqE_iAq6e-F9Cau2CgVGa6q5_WUCV6jGo2FK2PjXzq87Wvs1f_X7LwZC4MBoEa9gCFXmEsv3EqP3WKfGvsybj9ooCkX3qAp51nHhg/ttZLHHGUWlVkFMHsW10hcAVTG1FUIEdajeohGeGwdcM),Weapon,Light,,14.0,5.0,,,,,,,,,"A magical rod that can cast fireballs. The rod will break if it strikes something directly, so use it wisely.",,,,,,,,,
Fishing Harpoon,BotW_Fishing_Harpoon_Icon.png?version=36b5a7a906a4e39ca6c44babe60eb725 (https://v5.airtableusercontent.com/v3/u/41/41/1749067200000/mhZISCvoHNgg_1zzVuA5FA/E3PXB_ViNA1jwgpFuQE3LqR4hIpWg1Q7m13KJInHUC3devbEDtD9CWSEtFxR9Y0-JPP6ugwV37cfufwVlIgnSAJNnC7a1QC6fwwHdLBU66-vSB4jR0xUAQJ7J9X3nT8ZvpKS-Bfz1Ofh5oiX_h78Hln8lE2CQM5-y-Y2shDltUk/Dr-WYgqK3Yc5yVbE9lHk3NQH9TH0htMHZaYWpT1BsD0),Weapon,Light,,12.0,8.0,,,,,,,,,A fisherman's tool that excels at catching large fish. Its particularly sharp spearhead makes it valuable as a weapon as well.,,,,,,,,,
Flameblade,BotW_Flameblade_Icon.png?version=378880baed6c492c14e7d5c2ada13c49 (https://v5.airtableusercontent.com/v3/u/41/41/1749067200000/tAYlpS7go55hpQighU0qDg/Ru5lt1kJJF8jEYg1ANLxLp0XM4UjKVhT5LJjv1_ss9tmSuTsN5Iobao5hIgQycZW-DfpQ6NIjwTwf-W7XTmM0oIAdcuadQAIBGaPMaOo-SNxJVwn4I_Hb1blqQ60ydTIL9nH9Z0fezYP2Cv5utEPikhyzDr8FTMylZEgtw8hLtk/YWGqunjwURDrfYzxSlCKkpDYWRHgOlbkpDeAq4vhOvE),Weapon,Light,,36.0,24.0,,,,,,,,,This magical sword was forged in the lava of Death Mountain. It leaves white-hot flames in its wake when the blade glows red.,,,,,,,,,
Forest Dweller's Sword,BotW_Forest_Dweller%27s_Sword_Icon.png?version=88623c7e6379130b616c5fa90614ee43 (https://v5.airtableusercontent.com/v3/u/41/41/1749067200000/WniQBvv7QpHfruvzuavaLQ/T0aIj5P2fnfvJLZ3vNa8FHJgCnP3wx4FAinxPkYFaxETQEzYNCTLLWc3hEQmJoj90qARjCZlg7M5yW9BiIviUsWj2XlSZjVzkpo8h9nTRrdv3l1ii0b4TbKHXYcqMBDeB5jsFoJ2n8Smas4RxO_TA1x0am0Ndrhfw6jLA7nDUcYt5UMJ64BwRcSBlDlVtfIE/stbLZ09dMvRkdao15g5Bu3LnV--kbJLQpFl6rYrq0QU),Weapon,Light,,27.0,22.0,,,,,,,,,"Koroks made this sword for Hylians. It's made of wood, so it isn't the best choice for head-on attacks. Its original intent was likely clearing vines to forge paths through forests.",,,,,,,,,
Frostblade,BotW_Frostblade_Icon.png?version=af048125d87020f92ecbec3f7e3d9001 (https://v5.airtableusercontent.com/v3/u/41/41/1749067200000/JPFWehOe2taKbqeM2emeIA/aDreMXuNpLOhhKCh-qag2XHBHZC7PFCWm9EH9ykQEknlzrFxgVfi6p36USRUqOdsXAnmNine0-MvmcguNgU1qw-i1Y7dbFBrAM-tKFnrRaOkIRbXo5L5M9_dd296elfrkzfF1WUq_uwUNIXLLwSZrL9kr4yY7IXB8WZjcqw0DMk/t_wz-XdjQ5L4__ypj3JD37bxBUzcxnms3QOgzI93mDI),Weapon,Light,,30.0,20.0,,,,,,,,,"A magical sword forged in the frigid mountains of the Hebra region. When the blade glows blue, enemies struck by it will become frozen.",,,,,,,,,
Gerudo Scimitar,BotW_Gerudo_Scimitar.png?version=df8d9bb8601c11092a8745449ec98151 (https://v5.airtableusercontent.com/v3/u/41/41/1749067200000/qnra2sel19VRkX2uv2fMXw/8Dp2yU_-2NZs1g7fclygvVCforszRY_OjRbA1RdnwgW1AlFZprv79egmOK8H8LWS0VWayCP9GFyZZUcvtJhwFLzVlVjjsMegYBCsnyHa31nFouIxnrbN7nIb5-g4Ah0QAhNJkrSIs0X50ITudTccnYqTIWvPqwbsvbYqaKPP0G8/mYeqTnzzneyJSxgRBdsrGf5azE-3QKQ5K4xS2A7uAWc),Weapon,Light,,23.0,16.0,,,,,,,,,"This common sword is often carried by Gerudo women for self-defense. Its short, curved blade is easily recognized.",,,,,,,,,
Goddess Sword,BotW_Goddess_Sword_Icon.png?version=e1ef7f990d4114f63e1030114dac1fa2 (https://v5.airtableusercontent.com/v3/u/41/41/1749067200000/VZHd6qY4AUgkagkIk9Sq7A/ts_e9uF2RYlqkaoK5g9MSW7_Mf1gwribZk57pavQe-aDR_8nPHt5oZkBwdrAKbvfhuSjeNaZg3ErVvwHatb6X87K3j9sk2gNLQiK9aaFgHEbHH86UQ7bLUqCSlfZnkYKKES8zCqa8JXULhkp_0WI9SWcKB8FJPp5ITW4Hm_ACwI/zQXN9K5CHG0-GbCrIqqHuzmIHu-QSbni06WR3TfLVjg),Weapon,Light,,45.0,28.0,,,,,,,,,"A sword said to have once belonged to a hero from the sky. Its blade houses the fire of the Goddess. When wielded, a strange yet heavenly breeze kicks up around you.",,,,,,,,,
Guardian Sword,BotW_Guardian_Sword_Icon.png?version=cf6741a64950949ca0d6e503f7d955d2 (https://v5.airtableusercontent.com/v3/u/41/41/1749067200000/oRtsiRT5GAdcSE4TZcVWlQ/Wrv508XjTjAFS83Jbfgzz0O9wl8H4MKnevnJdl_Yfp3MV9y2s8ZB-MilYlQQOAggZrqb0gQ_2aiZBTCdl1W7kvLki03LvP-oDyK-uVmMWTZW3FcFpggxmVPA2a03m0rldLRUlriGlIw9rzt2WMi7Wul3bTOo-CnNmbpIAdKsphk/uDpymhpm68HhZy4FppbYasKPEKMZkRCcLv-QEKZJJMg),Weapon,Light,,17.0,20.0,,,,,,,,,A sword often wielded by Guardian Scouts. Its blue energy blade is a product of ancient technology. It's not very durable.,,,,,,,,,
Guardian Sword+,BotW_Guardian_Sword%EF%BC%8B_Icon.png?version=0d0e5f87e1b3c554260f2e9ece9717e7 (https://v5.airtableusercontent.com/v3/u/41/41/1749067200000/QExNznpeAOUxoZpZg_p8zw/cejfRRrR3Adl5JKeDFi3kJAAkdDyW9tAeRjbKbeco3jD0fWciOrl-Lh13-hGtgaAeHg4VCJzXjw71Qci7SJ7RRqmajLyNxMIcWHVZQMK_mfNmUWEJnLvVZccRRx-M-8y_pwIa1d8gSrRU_gpF7eS96h0RH28hUROtVe8H_aha-rMeNBrsPJ1HXEaG43iRJ7b/KiBQLczyIoSNmHFBvzitzk88jlFmCvVOYSB7XAZOsEI),Weapon,Light,,26.0,30.0,,,,,,,,,"This Guardian sword has enhanced power over the standard model. Its cutting capabilities are improved, and its durability has seen a slight uptick.",,,,,,,,,
Guardian Sword++,BotW_Guardian_Sword%EF%BC%8B%EF%BC%8B_Icon.png?version=18bf6036bfcb5c8ae526812038c5baeb (https://v5.airtableusercontent.com/v3/u/41/41/1749067200000/nHzSmAjevMNdQauCacHMTA/FADT1r_JuNnE2uH4hsr8iYBii0ghxMpqO2CrxyK2F1rFvXGK8DWgDv-_MN0JA1iEPHzwAM--uu-STdXeDfFl2YaQER8TCRFKVVSVnHoeJGMCl7Smt_CfkW-3emO35Ee0rwYZ6x8hNvIKzdsJkNMCJiyRLHGNqpfla1rSoPpKPPGsSNlFxYOyEIfv4ghgaQELqa-7a01-7sGTz_Ony5bf8A/3KSgTyFrgSAw6nTl0QTtskqaIe_GgoyK7quxQLolkPU),Weapon,Light,,32.0,40.0,,,,,,,,,"The abilities of this Guardian sword have been boosted to the maximum, as evidenced by its increase in size. It slices through armor like a hot knife through butter!",,,,,,,,,
Ice Rod,BotW_Ice_Rod_Icon.png?version=2ba541812492b6d4d07a443e100810fe (https://v5.airtableusercontent.com/v3/u/41/41/1749067200000/VLFN8PvYapVLp4RrYxbHWA/hXFJ-GRZqn6vO_OwDYKC99M_3KN5Nmhr7qQ9rsL8RmH_1bvyS_nOiOjajLWLhxT9VIL0v71FJAPdF2GJQjh3om8HAF58KLf-OQmSuzwTc_F5_6-Z_wDpM_9-6teMFvIXUky4g_tetRksWRC1cvEf9A4OQv3W4b_pURHTohaWixs/9FwOkQq8JO6kSrebZWPuoHlwsPizgqtOS8TaFFaZPcc),Weapon,Light,,14.0,5.0,,,,,,,,,A magical rod crafted from refined ice found in the Hebra Mountains. This rod can cast waves of freezing air. Great for magic—not so great for melee.,,,,,,,,,
Knight's Broadsword,BotW_Knight%27s_Broadsword_Icon.png?version=e7a73ff8cd5dc5cda8b553d488a43016 (https://v5.airtableusercontent.com/v3/u/41/41/1749067200000/1kcRo3SRh76FE6NUMQ8Nuw/JXNPVPO66xOP2zk9GdXpw51N6p-ZK0y6D_WBIzFlZ7NW_KZcy_HC-F4JWXbGWehG7aaeQMqlXaCzmYdV2mkB0UNrtUYruRvHkc5Gc1Sh1SI8VOV_aGlIAwHx7U3Zc2k_3hPHN9-jg_Y6DAWBczwnNv7XUXsajRrCGYcQOo8bhstlC09C75Bm_dk5R8KGOOj1/V2h-ZcNHQ7AYULA-ziTocw-3ks98GeU24Na4LKf83L8),Weapon,Light,,27.0,26.0,,,,,,,,,Knights of Hyrule once carried this sword. These days it's the weapon of choice for seasoned adventurers thanks to its ease of use and high attack power.,,,,,,,,,
Lightning Rod,BotW_Lightning_Rod_Icon.png?version=21d53a4260fb655d60a776e76f0da857 (https://v5.airtableusercontent.com/v3/u/41/41/1749067200000/RKAH_PL7b3n0BDjGFJDSLQ/4fwLdEuEzdlszxn_uyNttc3owT_7pzWR6UXsFY_eeSZX3kPQnKAc9B2eaSXWk0QM323AzowUwxgpbJcQ2bc9WQNaLwu2VjnkfUseccqXk1_nhb21jfS6JVyCfa_wPujyInGUlMH5V7oylPVFraA3BfgrU56o7j6hLa8eA8rxjAU/sY5HwgdBwFtRlaEJ3IyZK9bJzp8YAVf28V0B9sL2zYU),Weapon,Light,,14.0,5.0,,,,,,,,,A magical rod that can shoot balls of electricity. Its gem contains lightning from the Hyrule Hills. It's not recommended to use as a melee weapon.,,,,,,,,,
Lizal Boomerang,BotW_Lizal_Boomerang_Icon.png?version=18e7873a64df0ee2418d119a17d24b69 (https://v5.airtableusercontent.com/v3/u/41/41/1749067200000/iLeS5t2ODGEUT1ybTD0g9w/bCUfyTL-UA2x8RLhU_MLd0qNGDVWYBp-uTV76Kym_sqPAH-fwjTRv6j-m7FNcsWG0xBOMenamVwiUuEvkr37zQL34OmleNfHXqqLC1DwcvUo28VdvNCAI0K0maDhpHkoc_Oflcui_HDzi2sxvH-OCT6AihKdMJU1U30nbj4SMjI/Wmmy7_eXLWcxOXkEvTz3hfV-YCCWIuA71erVl59tX-k),Weapon,Light,,17.0,14.0,,,,,,,,,A curved sword favored by the Lizalfos. It can be used to attack directly or can be thrown like a boomerang.,,,,,,,,,
Lizal Forked Boomerang,BotW_Lizal_Forked_Boomerang_Icon.png?version=2359b1f2148a0132c47825bf6a895026 (https://v5.airtableusercontent.com/v3/u/41/41/1749067200000/WJcQ-3L_cmNzmzEwgN605A/ySGfsqR-WmIUbARk-D20S7MZQ41RyewV7IfXwymB26AjWZqJta3LXq1neHCs4V7AsVlXQs4EAcsGBHfA5MWaR6T9bp4gxSo2hSRK0O1-EHW6qzWlSNi2taFn5A1Fx08Ze-GubyyK9BRr5Kq3ASEQPeaV46HK56Z-bzooPxSyyXgaJUZ9FXl8scNNlj1_7Jgo/l_vGWlKEhD9ld2rUMEuwhobes7LtMrXNUdzjHZWbjsY),Weapon,Light,,25.0,24.0,,,,,,,,,"Blue Lizalfos in particular like this weapon. It has one more blade than the Lizal boomerang to give it additional cutting power, and it still returns when thrown.",,,,,,,,,
Lizal Tri-Boomerang,Lizal-tri-boomerang.png (https://v5.airtableusercontent.com/v3/u/41/41/1749067200000/cHbwswb6TUVn7VClxWIrvQ/F7XreSgxwg1Rsf9pabUJk9W-jQ3W4j7Jc5peF9UZSTNSQg7F8oIWFRL6gqiDecg_t_Wu2Tz-eCG4QG-GHVcKTV6ZLigwrTpGy5dhyQV0MKwIPXbUYxVHZQol9R3Y4XWb/K6Tov2q2eGdcLrj2UKIktvCoSKI8L11TVIp7R9fmUQA),Weapon,Light,,27.0,36.0,,,,,,,,,"More blades means more attack power! It can be used as a boomerang, but all those blades makes that a bit more dangerous. Carried by Black Lizalfos seasoned in battle.",,,,,,,,,
Lizalfos Arm,BotW_Lizalfos_Arm_Icon.png?version=7d8e6d06bfece170e2a76e2252a00684 (https://v5.airtableusercontent.com/v3/u/41/41/1749067200000/0SvfWOU0yq8Li0TZQGbEzg/Tnk0tu9KiZ24-qtbvYonBsxlPSfeJL4ZFhYAqSHXDom-8K6PmYiKOyXetCfZTgpSmgQO6rfBXxP0Cn0PYpLsy8xPhqSA56cfmKTSER3VHbd_As1tM2qf912v0GyPPQUdxgqtgorWpkEaHUHnTC2Rd1h8vvsUEoIUM26XlHRTaRo/MQGy2-U8dK139ltsh-QV1Ppo13o9UT4xcnit6ROsJH4),Weapon,Light,,8.0,12.0,,,,,,,,,"The arm of a Stalizalfos that continues to struggle even in death. It can be used as a weapon, but it's very brittle. You can feel it wiggling when you strap it to your back...",,,,,,,,,
Lynel Sword,BotW_Lynel_Sword_Icon.png?version=a37d5929ce0925d70e5a4b74beea7c43 (https://v5.airtableusercontent.com/v3/u/41/41/1749067200000/HNhfefr4PIEq21XItrY_Wg/fIJKiU1qDjyWPWYOx3Rwv5vUujUY_Ri7ONPRBW51e4_FSjUw2tAU80fJnc7Ort29LDHmHKyr-vNW35f697U7cZjINx8tbsS33fE-KDlIjpWfFx1hw3YcweAJS3nH6XEynFkUKMbOyGnTD4bBBes1bVoCWSt1rcyqyUhFKS5PdO8/UUpcKHQ4TN0rCQ_9kwBJih7QHQnhrtCBETgf4KnXjIw),Weapon,Light,,26.0,24.0,,,,,,,,,"This Lynel-made sword was designed with smashing in mind rather than slicing. It's on the heavy side compared to what Hylians are used to, but it's very strong.",,,,,,,,,
Master Sword,BotW_Master_Sword_Icon.png?version=5421ab286eed8d3a100b6e034073e797 (https://v5.airtableusercontent.com/v3/u/41/41/1749067200000/44SbNCXhN48J6PGhZJZanQ/jAH6oCHXwcn_50STucvEJ1smOnHzNaNtgJrtV-HwMv1l2kj4RGQKvY-jhDX4uWLJQppKRWbdhJfC_RHl_2Mo4OAXOYTiY0AeSnUmYmxOzQvvC7Pq58LmHJUF3il7OhkbVf0gGQhioCOWDci3JXjjQ0OnAt3CkcO3aSWZdEGeVL8/n0fp_IGNmHqMV-Gps1OEPoCC61KEKghtFB0z7O_QZKs),Weapon,Light,,,30.0,,,,,,,,,The Legendary sword that seals the darkness. Its blade gleams with a sacred luster that can oppose the Calamity. Only a hero chosen by the sword itself may wield it.,,,,,,,,,"The Master Sword does not break, but it does run out of energy. It takes 10 minutes to recharge. The Master Sword has an attack power of 30 which jumps to 60 when Link is fighting Calamity enemies. The weapon throw is replaced by a beam attack usable only when Link has full hearts. "
