name,class,subclass,durability,strength,description
Ancient Short Sword,Weapon,Light,54.0,40.0,"The blade of this sword was made using an ancient power lost to this modern age. Its blade appears only when drawn, and its cutting power surpasses metal swords."
Blizzard Rod,Weapon,Light,32.0,10.0,A magical rod that can cast extreme cold in a wide range. These are crafted from refined ice found at the summit of Hebra Peak. It will break when depleted.
Boko Club,Weapon,Light,8.0,4.0,"A crude Bokoblin club made to clobber small prey. It's essentially a stick, so its durability is low."
Bokoblin Arm,Weapon,Light,5.0,5.0,"A skeletal arm that keeps moving even after it's severed from its body. It's kind of gross to strap it to your back, but it'll do in a pinch. It's old and fragile, so it's quick to break."
Boomerang,Weapon,Light,18.0,8.0,This throwing weapon was originally used by the forest-dwelling Koroks. Its unique shape allows it to return after being thrown.
Demon Carver,Weapon,Light,25.0,40.0,This lethal weapon is forged by the Yiga. Its unique shape facilitates the sound dispatching of any target and strikes fear into the hearts of all who see it.
Dragonbone Boko Club,Weapon,Light,18.0,24.0,This Bokoblin club has been reinforced with fossilized bones to maximize clobbering potential. Only the brawniest of Bokoblins can manage its immense weight.
Eightfold Blade,Weapon,Light,26.0,15.0,A single-edged sword traditional to the Sheikah tribe. Forged using ancient technology it just may be among the sharpest conventional weapons ever made.
Fire Rod,Weapon,Light,14.0,5.0,"A magical rod that can cast fireballs. The rod will break if it strikes something directly, so use it wisely."
Fishing Harpoon,Weapon,Light,12.0,8.0,A fisherman's tool that excels at catching large fish. Its particularly sharp spearhead makes it valuable as a weapon as well.
Flameblade,Weapon,Light,36.0,24.0,This magical sword was forged in the lava of Death Mountain. It leaves white-hot flames in its wake when the blade glows red.
Forest Dweller's Sword,Weapon,Light,27.0,22.0,"Koroks made this sword for Hylians. It's made of wood, so it isn't the best choice for head-on attacks. Its original intent was likely clearing vines to forge paths through forests."
Frostblade,Weapon,Light,30.0,20.0,"A magical sword forged in the frigid mountains of the Hebra region. When the blade glows blue, enemies struck by it will become frozen."
Gerudo Scimitar,Weapon,Light,23.0,16.0,"This common sword is often carried by Gerudo women for self-defense. Its short, curved blade is easily recognized."
Goddess Sword,Weapon,Light,45.0,28.0,"A sword said to have once belonged to a hero from the sky. Its blade houses the fire of the Goddess. When wielded, a strange yet heavenly breeze kicks up around you."
Guardian Sword,Weapon,Light,17.0,20.0,A sword often wielded by Guardian Scouts. Its blue energy blade is a product of ancient technology. It's not very durable.
Guardian Sword+,Weapon,Light,26.0,30.0,"This Guardian sword has enhanced power over the standard model. Its cutting capabilities are improved, and its durability has seen a slight uptick."
Guardian Sword++,Weapon,Light,32.0,40.0,"The abilities of this Guardian sword have been boosted to the maximum, as evidenced by its increase in size. It slices through armor like a hot knife through butter!"
Ice Rod,Weapon,Light,14.0,5.0,A magical rod crafted from refined ice found in the Hebra Mountains. This rod can cast waves of freezing air. Great for magic—not so great for melee.
Knight's Broadsword,Weapon,Light,27.0,26.0,Knights of Hyrule once carried this sword. These days it's the weapon of choice for seasoned adventurers thanks to its ease of use and high attack power.
Lightning Rod,Weapon,Light,14.0,5.0,A magical rod that can shoot balls of electricity. Its gem contains lightning from the Hyrule Hills. It's not recommended to use as a melee weapon.
Lizal Boomerang,Weapon,Light,17.0,14.0,A curved sword favored by the Lizalfos. It can be used to attack directly or can be thrown like a boomerang.
Lizal Forked Boomerang,Weapon,Light,25.0,24.0,"Blue Lizalfos in particular like this weapon. It has one more blade than the Lizal boomerang to give it additional cutting power, and it still returns when thrown."
Lizal Tri-Boomerang,Weapon,Light,27.0,36.0,"More blades means more attack power! It can be used as a boomerang, but all those blades makes that a bit more dangerous. Carried by Black Lizalfos seasoned in battle."
Lizalfos Arm,Weapon,Light,8.0,12.0,"The arm of a Stalizalfos that continues to struggle even in death. It can be used as a weapon, but it's very brittle. You can feel it wiggling when you strap it to your back..."
Lynel Sword,Weapon,Light,26.0,24.0,"This Lynel-made sword was designed with smashing in mind rather than slicing. It's on the heavy side compared to what Hylians are used to, but it's very strong."
Master Sword,Weapon,Light,0.0,30.0,The Legendary sword that seals the darkness. Its blade gleams with a sacred luster that can oppose the Calamity. Only a hero chosen by the sword itself may wield it.
Meteor Rod,Weapon,Light,32.0,10.0,"A magical rod that can cast three fireballs at once, crafted by an ancient magician. It will break upon running out of magical energy, so make it last!"
Mighty Lynel Sword,Weapon,Light,32.0,36.0,This Lynel-made sword boasts more blades and more attack power. A skilled Lynel can draw this sword simply in passing and still cut a foe in two.
Moonlight Scimitar,Weapon,Light,32.0,25.0,Delicate Gerudo carvings decorate this curved sword. The engraved blade is extremely sharp. Apparently it once served ceremonial purposes in festivals.
Royal Broadsword,Weapon,Light,36.0,36.0,The Hyrulean royal family would award this sword to knights who achieved remarkable feats. A sword that balances strength and beauty as elegantly as this one is a rare find.
Royal Guard's Sword,Weapon,Light,14.0,48.0,"A Sheikah-made replica of the sword that seals the darkness. It was made with ancient technology to oppose the Great Calamity, but its low durability made it inefficient."
Rusty Broadsword,Weapon,Light,8.0,6.0,A rusty sword used ages ago by a skilled swordsman. It can do some damage in the right hands but also breaks quickly.
Savage Lynel Sword,Weapon,Light,41.0,58.0,"A brutal sword carried by white-haired Lynels. The savage blades are strong enough to cut down any foe, no matter how strong."
Scimitar of the Seven,Weapon,Light,60.0,32.0,"A famous sword once beloved by the Gerudo Champion Urbosa. It is said that when Urbosa swung this sword in battle, her movements resembled a beautiful dance."
Sea-Breeze Boomerang,Weapon,Light,20.0,20.0,A boomerang said to have been used by a hero who traveled the Great Sea. It smells faintly of salt water.
Soldier's Broadsword,Weapon,Light,25.0,14.0,A sword brandished by the soldiers who once protected Hyrule Castle. Its durable blade is well tuned for slaying monsters.
Soup Ladle,Weapon,Light,5.0,4.0,"A kitchen implement often used for serving delicious soups. It was carved from the wood of a sturdy tree, so it actually packs quite the wallop."
Spiked Boko Club,Weapon,Light,14.0,12.0,A reinforced Bokoblin club made to maximize damage. The sharpened bones jabbed into it make it a brutal weapon.
Spring-Loaded Hammer,Weapon,Light,80.0,1.0,"This strange hammer is one of Kilton's specialties. Being struck by it doesn't hurt much, but the fourth swing in a string of attacks will send the victim flying."
Sword,Weapon,Light,27.0,22.0,"A sword once wielded by a hero in an ancient age. When grasped, a strange sense of nostalgia washes over you. Take it when going alone would otherwise be dangerous."
Thunderblade,Weapon,Light,36.0,22.0,"A magical sword forged and refined by lightning from the Hyrule Hills. When the blade shines with a golden light, it will electrocute enemies struck by it."
Thunderstorm Rod,Weapon,Light,32.0,10.0,"A magical rod that can hurl three balls of electricity at once. Its gem contains electricity from the Hyrule Hills, and the rod will break when that electricity runs out."
Torch,Weapon,Light,8.0,2.0,"This torch will stay lit once ignited. If you put it away, the flame will be extinguished until you light it again."
Traveler's Sword,Weapon,Light,20.0,5.0,"A very common sword often kept by travelers to fend off small beasts. It's fairly durable, but a bit unreliable against monsters."
Tree Branch,Weapon,Light,4.0,2.0,"Wooden branches such as this are pretty common, but it's surprisingly well-balanced. It doesn't do much damage but can serve as a weapon in a pinch."
Vicious Sickle,Weapon,Light,14.0,16.0,A grim weapon favored by the Yiga. The half-moon shape of the blade allows for the rapid delivery of fatal wounds and serves as a symbol of their terror. Its durability is low.
Zora Sword,Weapon,Light,27.0,15.0,The ornamentation that adorns this blade is a traditional Zora design. It's forged from a very durable and rust-proof metal.
Ancient Battle Axe,Weapon,Heavy,15.0,30.0,"A weapon used by Guardian Scouts. Its unique blade was forged using ancient technology. Although powerful, its unusual shape causes it to break easily."
Ancient Battle Axe+,Weapon,Heavy,20.0,45.0,"This ancient battle axe's damage output has been increased to maximum. It's sharp enough to cut through almost anything, so it may have been used to forge new routes."
Ancient Battle Axe++,Weapon,Heavy,25.0,60.0,This ancient battle axe's damage output is scaled up to peak performance. Ancient technology makes it possible to enhance cutting power beyond metal weapons' limits.
Ancient Bladesaw,Weapon,Heavy,50.0,55.0,This two-handed sword was forged using ancient Sheikah technology. Its unique rotating blades give it impressive cutting power that will slice enemies to shreds.
Biggoron's Sword,Weapon,Heavy,60.0,50.0,A legendary greatsword forged by a Goron craftsman for a hero who traveled through time. The exceptionally sharp cutting edge is a testament to the craftsman's mastery.
Boat Oar,Weapon,Heavy,8.0,14.0,"Made for paddling boats, but it was made sturdy enough to fight strong currents. Maybe it's useful for self-defense in a pinch."
Boko Bat,Weapon,Heavy,12.0,6.0,"A clunky club made by a Bokoblin. If you swing it at an enemy's shield, it may be able to knock the shield out of your foe's hand."
Boulder Breaker,Weapon,Heavy,60.0,60.0,"This two-handed weapon was once wielded by the Goron Champion Daruk. Daruk made swinging it around look easy, but a Hylian would need an immense amount of strength."
Cobble Crusher,Weapon,Heavy,30.0,15.0,"A Goron-made two-handed weapon. It's made from thick, hard metal and has no cutting edge, so it relies on its sheer weight to crush all opponents."
Double Axe,Weapon,Heavy,52.0,18.0,"This double-sided axe was designed with fighting in mind. It's a bit unwieldy, so it requires a well-practiced technique to use efficiently."
Dragonbone Boko Bat,Weapon,Heavy,16.0,36.0,"Used by only the toughest Bokoblin warriors, this Boko bat has been fortified by fossilized bone. It boasts a high durability and is strong enough to beat down powerful foes."
Dragonbone Moblin Club,Weapon,Heavy,24.0,45.0,"The bone of an ancient beast has been affixed to this Moblin club, further increasing its damage. Moblins carrying these in battle are particularly dangerous."
Drillshaft,Weapon,Heavy,50.0,14.0,"Goron artisans used recycled metal to forge this weapon. The tip is made from an old excavation bore, which affords it unmatched piercing capabilities."
Edge of Duality,Weapon,Heavy,35.0,50.0,A curious double-edged sword crafted using Sheikah technology. It was originally made for Hyrulean knights unfamiliar with single-edged blades.
Eightfold Longblade,Weapon,Heavy,25.0,32.0,A single-edged sword seldom seen in Hyrule. This weapon is passed down through the Sheikah tribe and has an astonishingly sharp edge ideal for slicing.
Farming Hoe,Weapon,Heavy,6.0,16.0,"A farming tool primarily used for tilling fields. Its fine craftsmanship is sturdy enough to withstand backbreaking fieldwork, but its battle applications are untested."
Feathered Edge,Weapon,Heavy,27.0,15.0,"Rito craftsmen forged this lightweight, double-edge sword so Rito warriors could soar into battle unhindered by its weight."
Fierce Deity Sword,Weapon,Heavy,35.0,60.0,A peculiar greatsword allegedly used by a hero from a world in which the moon threatened to fall. It slashes wildly in battle as if possessed by a fierce deity.
Giant Boomerang,Weapon,Heavy,40.0,25.0,"This massive boomerang requires two hands. Originally used for hunting, it was modified for use as a weapon. The blades on the inner curves make it a bit tricky to wield."
